v1	d(Id(M1))/Id(M1)
Step Information: L=16n  (Run: 1/5)
0.000000000000000e+000	2.482447e+001
1.000000000000000e-003	2.451750e+001
2.000000000000000e-003	2.450510e+001
3.000000000000000e-003	2.449256e+001
4.000000000000000e-003	2.447986e+001
5.000000000000000e-003	2.446701e+001
6.000000000000000e-003	2.445400e+001
7.000000000000000e-003	2.444079e+001
8.000000000000000e-003	2.442739e+001
9.000000000000001e-003	2.441382e+001
1.000000000000000e-002	2.440009e+001
1.100000000000000e-002	2.438617e+001
1.200000000000000e-002	2.437210e+001
1.300000000000001e-002	2.435787e+001
1.400000000000001e-002	2.434346e+001
1.500000000000001e-002	2.432886e+001
1.600000000000001e-002	2.431408e+001
1.700000000000001e-002	2.429915e+001
1.800000000000001e-002	2.428405e+001
1.900000000000001e-002	2.426870e+001
2.000000000000001e-002	2.425322e+001
2.100000000000001e-002	2.423764e+001
2.200000000000001e-002	2.422181e+001
2.300000000000001e-002	2.420577e+001
2.400000000000001e-002	2.418954e+001
2.500000000000002e-002	2.417321e+001
2.600000000000002e-002	2.415670e+001
2.700000000000002e-002	2.413991e+001
2.800000000000002e-002	2.412301e+001
2.900000000000002e-002	2.410597e+001
3.000000000000002e-002	2.408866e+001
3.100000000000002e-002	2.407120e+001
3.200000000000002e-002	2.405359e+001
3.300000000000002e-002	2.403573e+001
3.400000000000002e-002	2.401769e+001
3.500000000000002e-002	2.399952e+001
3.600000000000003e-002	2.398117e+001
3.700000000000003e-002	2.396255e+001
3.800000000000003e-002	2.394377e+001
3.900000000000003e-002	2.392486e+001
4.000000000000003e-002	2.390572e+001
4.100000000000003e-002	2.388637e+001
4.200000000000003e-002	2.386684e+001
4.300000000000003e-002	2.384715e+001
4.400000000000003e-002	2.382724e+001
4.500000000000003e-002	2.380712e+001
4.600000000000003e-002	2.378682e+001
4.700000000000004e-002	2.376634e+001
4.800000000000004e-002	2.374566e+001
4.900000000000004e-002	2.372479e+001
5.000000000000004e-002	2.370369e+001
5.100000000000004e-002	2.368238e+001
5.200000000000004e-002	2.366094e+001
5.300000000000004e-002	2.363931e+001
5.400000000000004e-002	2.361743e+001
5.500000000000004e-002	2.359533e+001
5.600000000000004e-002	2.357305e+001
5.700000000000004e-002	2.355055e+001
5.800000000000005e-002	2.352792e+001
5.900000000000005e-002	2.350502e+001
6.000000000000005e-002	2.348192e+001
6.100000000000005e-002	2.345867e+001
6.200000000000005e-002	2.343515e+001
6.300000000000004e-002	2.341145e+001
6.400000000000004e-002	2.338757e+001
6.500000000000004e-002	2.336347e+001
6.600000000000005e-002	2.333914e+001
